provincia_iso;fecha;num_casos
NA;12;2961
NC;1;0
NC;2;17
NC;3;3111
NC;4;2461
NC;5;122
NC;6;15
NC;7;149
NC;8;1639
NC;9;1579
NC;10;3386
NC;11;2151
NC;12;1026
O;1;0
O;2;5
O;3;1593
O;4;752
O;5;76
O;6;11
O;7;102
O;8;940
O;9;2282
O;10;7477
O;11;10947
O;12;3355
OR;1;0
OR;2;11
OR;3;1097
OR;4;623
OR;5;47
OR;6;4
OR;7;29
OR;8;486
OR;9;1226
OR;10;2753
OR;11;998
OR;12;1128
P;1;0
P;2;2
P;3;600
P;4;386
P;5;78
P;6;33
P;7;38
P;8;421
P;9;1495
P;10;2929
P;11;2314
P;12;1313
PM;1;1
PM;2;14
PM;3;1528
PM;4;491
PM;5;158
PM;6;127
PM;7;575
PM;8;7507
PM;9;4124
PM;10;4732
PM;11;5669
PM;12;11849
PO;1;0
PO;2;2
PO;3;1980
PO;4;586
PO;5;60
PO;6;20
PO;7;118
PO;8;826
PO;9;1873
PO;10;4687
PO;11;6332
PO;12;4400
S;1;0
S;2;11
S;3;1507
S;4;715
S;5;87
S;6;48
S;7;157
S;8;2016
S;9;2429
S;10;3672
S;11;5002
S;12;2594
SA;1;0
SA;2;2
SA;3;2202
SA;4;882
SA;5;125
SA;6;77
SA;7;83
SA;8;1542
SA;9;2795
SA;10;5999
SA;11;2814
SA;12;829
SE;1;0
SE;2;17
SE;3;1934
SE;4;543
SE;5;51
SE;6;25
SE;7;286
SE;8;2686
SE;9;8413
SE;10;24656
SE;11;16476
SE;12;4990
SG;1;0
SG;2;7
SG;3;1920
SG;4;610
SG;5;56
SG;6;61
SG;7;55
SG;8;450
SG;9;1042
SG;10;1446
SG;11;970
SG;12;681
SO;1;0
SO;2;5
SO;3;989
SO;4;376
SO;5;61
SO;6;65
SO;7;136
SO;8;391
SO;9;481
SO;10;808
SO;11;978
SO;12;246
SS;1;0
SS;2;4
SS;3;1593
SS;4;735
SS;5;104
SS;6;152
SS;7;1151
SS;8;3880
SS;9;5014
SS;10;12262
SS;11;11749
SS;12;4430
T;1;0
T;2;7
T;3;1231
T;4;881
T;5;143
T;6;66
T;7;833
T;8;2441
T;9;2767
T;10;10768
T;11;6083
T;12;5390
TE;1;0
TE;2;3
TE;3;380
TE;4;179
TE;5;55
TE;6;20
TE;7;512
TE;8;620
TE;9;1221
TE;10;2493
TE;11;1506
TE;12;844
TF;1;1
TF;2;25
TF;3;1226
TF;4;293
TF;5;64
TF;6;18
TF;7;96
TF;8;932
TF;9;1813
TF;10;2318
TF;11;2673
TF;12;4552
TO;1;0
TO;2;4
